rank,ins,name,classes,efsa_adi,india_products,pct,tag
"35","150A","Plain caramel","colour","300","29","1.27","en:e150a"
"36","101","Riboflavin","colour","","29","1.27","en:e101"
"37","150","Caramel","","","28","1.22","en:e150"
"38","500I","Sodium carbonate","stabiliser, thickener","","28","1.22","en:e500i"
"39","955","Sucralose","sweetener","","28","1.22","en:e955"
"40","341","Calcium phosphates","emulsifier, humectant, sequestrant, stabiliser, thickener","","27","1.18","en:e341"
"41","320","Butylated hydroxyanisole (bha)","antioxidant","","27","1.18","en:e320"
"42","375","Nicotinic acid","","","25","1.09","en:e375"
"43","450I","Disodium diphosphate","emulsifier, humectant, sequestrant, stabiliser, thickener","","24","1.05","en:e450i"
"44","223","Sodium metabisulphite","antioxidant, preservative","0.7","23","1.0","en:e223"
"45","420","Sorbitol","humectant, sequestrant, stabiliser, sweetener, thickener","","23","1.0","en:e420"
"46","1442","Hydroxypropyl distarch phosphate","emulsifier, stabiliser, thickener","","21","0.92","en:e1442"
"47","410","Locust bean gum","emulsifier, stabiliser, thickener","","21","0.92","en:e410"
"48","331","Sodium citrates","emulsifier, sequestrant, stabiliser","","20","0.87","en:e331"
"49","133","Brilliant blue FCF","colour","","19","0.83","en:e133"
"50","122","Azorubine","colour","","19","0.83","en:e122"
"51","200","Sorbic acid","preservative","3","19","0.83","en:e200"
"52","476","Polyglycerol polyricinoleate","emulsifier","","19","0.83","en:e476"
"53","635","Disodium 5'-ribonucleotide","","","18","0.79","en:e635"
"54","451","Triphosphates","emulsifier, humectant, sequestrant, stabiliser, thickener","","18","0.79","en:e451"
"55","392","Extracts of rosemary","","","17","0.74","en:e392"
"56","452","Polyphosphates","emulsifier, humectant, sequestrant, stabiliser, thickener","","16","0.7","en:e452"
"57","340","Potassium phosphates","emulsifier, humectant, sequestrant, stabiliser, thickener","","16","0.7","en:e340"
"58","965","maltitol","emulsifier, humectant, stabiliser, sweetener, thickener","","16","0.7","en:e965"
"59","1100","Alpha-Amylase","","","15","0.65","en:e1100"
"60","472E","Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids","emulsifier, sequestrant, stabiliser","","14","0.61","en:e472e"
"61","950","Acesulfame k","sweetener","","14","0.61","en:e950"
"62","307B","concentrated tocopherol","antioxidant","","14","0.61","en:e307b"
"63","100","Curcumin","colour","","13","0.57","en:e100"
"64","334","L(+)-tartaric acid","antioxidant, sequestrant","","13","0.57","en:e334"
"65","501I","Potassium carbonate","stabiliser","","13","0.57","en:e501i"
"66","224","Potassium metabisulphite","antioxidant, preservative","0.7","13","0.57","en:e224"
"67","160A","carotene","colour","","13","0.57","en:e160a"
"68","1422","Acetylated distarch adipate","emulsifier, stabiliser, thickener","","13","0.57","en:e1422"
"69","339II","Disodium phosphate","emulsifier, humectant, preservative, sequestrant, stabiliser, thickener","","12","0.52","en:e339ii"
"70","477","Propane-1‚2-diol esters of fatty acids","emulsifier","","12","0.52","en:e477"
"71","490","Propylene glycol","","","12","0.52","en:e490"
"72","451I","Pentasodium triphosphate","emulsifier, humectant, sequestrant, stabiliser, thickener","","11","0.48","en:e451i"
"73","164","saffron","","","11","0.48","en:e164"
"74","900","Dimethylpolysiloxane and Methylphenylpolysiloxane","","","11","0.48","en:e900"
"75","339","Sodium phosphates","emulsifier, humectant, preservative, sequestrant, stabiliser, thickener","","11","0.48","en:e339"
"76","120","Cochineal","colour","","10","0.44","en:e120"
"77","960","Steviol glycosides","sweetener","4","10","0.44","en:e960"
"78","331III","Trisodium citrate","","","10","0.44","en:e331iii"
"79","621","Monosodium glutamate","flavour-enhancer","","9","0.39","en:e621"
"80","900A","Dimethyl polysiloxane","emulsifier","","9","0.39","en:e900a"
