ins,additive_name,food_category_code,food_category,max_level,limit_type,note,page
,ASCORBYL,1.3.2.1,"Non dairy
based
beverage
whitener",80 mg/kg,numeric,10,81
950,Acesulfame,1.3.2.1,"Non dairy
based
beverage
whitener","2,000 mg/kg",numeric,188,81
951,Aspartame,1.3.2.1,"Non dairy
based
beverage
whitener","6,000 mg/kg",numeric,191,81
,CAROTENOID,1.3.2.1,"Non dairy
based
beverage
whitener",100 mg/kg,numeric,,81
150c,Caramel III -,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
150d,Caramel IV -,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
160a(ii),"beta-Carotenes,",1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
472e,Diacetyl tartaric,1.3.2.1,"Non dairy
based
beverage
whitener","5,000 mg/kg",numeric,,81
961,Neotame,1.3.2.1,"Non dairy
based
beverage
whitener",65 mg/kg,numeric,,81
,POLYSORBAT,1.3.2.1,"Non dairy
based
beverage
whitener","4,000 mg/kg",numeric,,81
477,Propylene glycol,1.3.2.1,"Non dairy
based
beverage
whitener","1,000 mg/kg",numeric,,81
,RIBOFLAVINS,1.3.2.1,"Non dairy
based
beverage
whitener",300 mg/kg,numeric,,81
,SORBATES,1.3.2.1,"Non dairy
based
beverage
whitener",200 mg/kg,numeric,42,81
554,Sodium alumino,1.3.2.1,"Non dairy
based
beverage
whitener",570 mg/kg,numeric,"260, 6",81
955,Sucralose,,,580 mg/kg,numeric,,82
319,Tertiary,,,100 mg/kg,numeric,"15, 195",82
,PHOSPHATES,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)","2,200 mg/kg",numeric,33,82
,POLYSORBAT,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)","1,000 mg/kg",numeric,,82
472a,Acetic and fatty,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1422,Acetylated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1414,Acetylated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,,82
1401,Acid-treated,1.4.2,"Sterilized and
UHT creams,
whipping and
whipped
creams, and
reduced fat
creams
(plain)",GMP,gmp,236,82
406,Agar,,,GMP,gmp,,83
400,Alginic acid,,,GMP,gmp,,83
403,Ammonium,,,GMP,gmp,,83
1403,Bleached starch,,,GMP,gmp,236,83
404,Calcium alginate,,,GMP,gmp,,83
170(i),Calcium,,,GMP,gmp,,83
509,Calcium chloride,,,GMP,gmp,,83
327,Calcium lactate,,,GMP,gmp,,83
516,Calcium sulfate,,,GMP,gmp,,83
290,Carbon dioxide,,,GMP,gmp,"278, 59",83
410,Carob bean gum,,,GMP,gmp,,83
407,Carrageenan,,,GMP,gmp,,83
330,Citric acid,,,GMP,gmp,,83
472c,Citric and fatty,,,GMP,gmp,,83
1400,"Dextrins, roasted",,,GMP,gmp,236,83
472e,Diacetyltarteric,,,"6,000 mg/kg",numeric,,83
1412,Distarch,,,GMP,gmp,,83
418,Gellan gum,,,GMP,gmp,,83
412,Guar gum,,,GMP,gmp,,83
414,Gum arabic,,,GMP,gmp,,83
463,Hydroxypropyl,,,GMP,gmp,,83
1442,Hydroxypropyl,,,GMP,gmp,,84
464,Hydroxypropyl,,,GMP,gmp,,84
1440,Hydroxypropyl,,,GMP,gmp,,84
425,Konjac flour,,,GMP,gmp,236,84
270,"Lactic acid, L-, D-",,,GMP,gmp,,84
472b,Lactic and fatty,,,GMP,gmp,,84
,Lecithins,,Lecithins,GMP,gmp,,84
461,Methyl cellulose,,Lecithins,GMP,gmp,,84
465,Methyl ethyl,,Lecithins,GMP,gmp,,84
460(i),Microcrystalline,,Lecithins,GMP,gmp,,84
471,Mono- and di-,,Lecithins,GMP,gmp,,84
1410,Monostarch,,Lecithins,GMP,gmp,,84
941,Nitrogen,,Lecithins,GMP,gmp,"278, 59",84
942,Nitrous oxide,,Lecithins,GMP,gmp,"278, 59",84
1404,Oxidized starch,,Lecithins,GMP,gmp,236,84
440,Pectins,,,GMP,gmp,,85
1413,Phosphated,,,GMP,gmp,,85
1200,Polydextroses,,,GMP,gmp,236,85
402,Potassium,,,GMP,gmp,,85
501(i),Potassium,,,GMP,gmp,,85
508,Potassium,,,GMP,gmp,,85
332(i),Potassium,,,GMP,gmp,,85
501(ii),Potassium,,,GMP,gmp,,85
326,Potassium lactate,,,GMP,gmp,,85
460(ii),Powdered,,,GMP,gmp,,85
407a,Processed,,,GMP,gmp,,85
401,Sodium alginate,,,GMP,gmp,,85
500(i),Sodium carbonate,,,GMP,gmp,,85
466,Carboxymethyl,,,GMP,gmp,,85
331(i),Sodium,,,GMP,gmp,,85
500(ii),Sodium hydrogen,,,GMP,gmp,,85
325,Sodium lactate,,,GMP,gmp,,86
500(iii),500(iii),,Sodium,GMP,gmp,,86
1420,Starch acetate,,Sodium,GMP,gmp,,86
1450,Starch sodium,,Sodium,GMP,gmp,,86
417,Tara gum,,Sodium,GMP,gmp,236,86
413,Tragacanth gum,,Sodium,GMP,gmp,236,86
333(iii),Tricalcium citrate,,Sodium,GMP,gmp,,86
332(ii),Tripotassium,,Sodium,GMP,gmp,,86
331(iii),Trisodium citrate,,Sodium,GMP,gmp,,86
415,Xanthan gum,,Sodium,GMP,gmp,,86
472e,Diacetyltartaric,1.4.3,"Clotted cream
(plain)","5,000 mg/kg",numeric,,86
234,Nisin,1.4.3,"Clotted cream
(plain)",10 mg/kg,numeric,,86
,PHOSPHATES,1.4.3,"Clotted cream
(plain)","2,200 mg/kg",numeric,33,86
,POLYSORBAT,1.4.3,"Clotted cream
(plain)","1,000 mg/kg",numeric,,86
950,Acesulfame,1.4.4,"Cream
analogues","1,000 mg/kg",numeric,188,86
951,Aspartame,1.4.4,"Cream
analogues","1,000 mg/kg",numeric,191,86
,CAROTENOID,1.4.4,"Cream
analogues",20 mg/kg,numeric,,86
150c,Caramel III -,1.4.4,"Cream
analogues","5,000 mg/kg",numeric,,86
150d,Caramel IV -,1.4.4,"Cream
analogues","5,000 mg/kg",numeric,,86
160a(ii),"beta-Carotenes,",,,20 mg/kg,numeric,,87
472e,Diacetyltartaric,,,"6,000 mg/kg",numeric,,87
163(ii),Grape skin extract,,,150 mg/kg,numeric,"181, 201",87
961,Neotame,,,33 mg/kg,numeric,,87
,PHOSPHATES,,,"2,200 mg/kg",numeric,33,87
,POLYSORBAT,,,"5,000 mg/kg",numeric,,87
477,Propylene glycol,,,"5,000 mg/kg",numeric,86,87
